Month,Year,Review,Rating,Platform
December,2016,"Great place to shop for truly Italian foods! Was a very small, busy shop - they've expanded into a new large building. It has a variety of foods and desserts! You can also eat there. Really authentic.",5,TripAdvisor
December,2016,The new store is awesome! There is a nice cafe to have lunch at. The food is excellent. My family loves their vodka sauce. They have a great deli for buying cheese and meat. I shop here about once week.,5,TripAdvisor
November,2016,"I always went to the old store but the new store is amazing. They have fresh, refrigerated and frozen prepared Italian foods. You can buy fresh vegetables and meats. They have and great bakery section and a place to make you a sandwich. It is self serve. Nice eating area.",5,TripAdvisor
November,2016,"Having been a customer of Altomonte's since their original store was on County Line near York Rd., then following them to their location on York Rd. just off County Line and then their opening of Doylestown I can say without hesitation they are good at what they do. Now, the new store in Doylestown combines all of the good things they have done in the past and added a place to sit and enjoy their offerings. Great cheese selection as well as meats, snacks and much much more.",4,TripAdvisor
October,2016,"The new place is pretty and new looking but I prefer the original. The product is the same but, for example, instead of ordering your hot counter food/sandwiches from a person you now have to use a kiosk - very impersonal. The beef and broccoli rabe and provolone sub is still the bomb. All of the food is still the bomb but no ambiance.",3,TripAdvisor
October,2016,"Been going here for years. Now they have the new place, the size is perfect. They have always had great offerings, and now the new location just puts them over the top. Very helpful staff too!",5,TripAdvisor
October,2016,"Yesterday, together with friends I visited Altomonte's Italian Market & Deli. We met for a lunch at another restaurant, which was closed. So, per suggestion we went to Altomonte's, which is really not a restaurant, just has a relatively big ( and clean) seating area. We had not regret that we have visited this place: great service, deliciously prepared food and good quality products!",5,TripAdvisor
October,2016,Delicious Italian foods and pastries. Tomato pie is delicious. You can dine in or take out. Great customer service.,4,TripAdvisor
October,2016,"My family and I visited today after going to Peddlers Village. We were glad we stopped. The service we received was amazing. My husband and I had espresso and my daughter had a cappacino with a cannoli. My daughter stated that her cappuccino was better than Starbucks and the cannoli was to die for. We bought some Italian specialities, fresh meats, desserts and sandwiches. OMG the (pumpkin and regular) cannoli's were the best we ever had. The sandwiches were better than any primo hoagie I ever ate. We were impressed with the large selection and quality of products.",5,TripAdvisor
October,2016,"These guys put mountains of cash into a wonderful specialty market and eatery but have completely botched the delivery. They have No one who speaks English so they have automated ordering through cheesy non functioning kiosks. Signs offered wonderful panini s, but you couldn't order them on the kiosks. After finally finding someone who could explain the system to us in English we waited half an hour to actually get said food. The place was crowded with very confused people. Delish but completely stressed us out!",3,TripAdvisor
September,2016,"Gone are the good old days before they moved to their new, automated in their new ""kiosk computer"" sandwich ordering system.(prices went up to pay for the new computers and new building) No More friendly advice and personalized ""your way"" sandwiches...AND..no more complimentary coffee either!!!! H O W E V E R.....Good news!! Brenda and Maria (an owner) saved the day and my lunch, After trying (unsuccessfully with several not busy employees) to get someone to take my order I was ready to leave. Brenda saw my frustration at the kiosk lines and entering sandwich details. She took my order verbally the result was a delicious and very generous sized turkey pannini... and... at a great value! If I was sure Brenda or Maria would be there I surely would return often.",4,TripAdvisor
September,2016,I have now become a regular at Altomonte's market. The have a great cookie and cakes selection.. plus the meats and cheeses are out of this world.. a few weeks ago I bought a bottle of their olive oil which was very good.. This is a must see market and you don't need to be Italian to appreciate the quality & service and I guarantee you will become a regular like me!,5,TripAdvisor
September,2016,"Altomonte's cannot be beat for its quality and variety of Italian specialties. Where to begin? From the tomato pie to the hoagies to the imported and domestic deli meats and cheeses to the on premises butcher shop with aged prime beef and homemade sausages (not to mention the sauces and home prepared take out)! And, being a family owned and operated establishment, they treat you like family! Best in Bucks (and Philly and its surrounding suburbs)!",5,TripAdvisor
July,2016,They might be getting too big to be great. Still good Italian meats and cheeses though. A bit pricey. Once a month type splurge.,4,TripAdvisor
September,2016,Great food and support staff. They are willing to work with you on all food concerns. I have used them for catering as well.,5,TripAdvisor
May,2016,"Love visiting Altomonte's for cheeses, olives, imported goods, and more. I've used their catering and was very pleased. Their prepared foods are great for takeout.",4,TripAdvisor
September,2016,"On Sunday afternoon wife said they have to be making a fortune here! She waited 35 minutes for a few sandwiches. It wasn't bad service, just a packed store. But the prices, yes the prices, they are a bit bothersome. Owners tread a fine line between good fresh food and pricing.

We chose the good fresh food, but don't be surprised!
On Sunday afternoon wife said they have to be making a fortune here! She waited 35 minutes for a few sandwiches. It wasn't bad service, just a packed store.

But the prices, yes the prices, they are a bit bothersome. Owners tread a fine line between good fresh food and pricing.

We chose the good fresh food, but don't be surprised!
On Sunday afternoon wife said they have to be making a fortune here! She waited 35 minutes for a few sandwiches. It wasn't bad service, just a packed store.

But the prices, yes the prices, they are a bit bothersome. Owners tread a fine line between good fresh food and pricing.

We chose the good fresh food, but don't be surprised!
",4,TripAdvisor
September,2016,"Altomonte's has top-notch and hard-to-find Italian specialty foods. However, their prices are on the expensive side. Common, brand name items are less expensive at many of the local chain grocery stores. Their ready-to-eat items and frozen pasta are tasty and sandwiches very good. I was glad to see that the store has adopted a system where a customer can pay for their sandwich after ordering and before it is prepared. They did not have such a system in place at the old store and it caused customers to wait lengthy periods of time waiting in line. Warning -- high employee turnover -- sometimes spotty service.",3,TripAdvisor
September,2016,"This is an Italian store that sells high end Italian meant , cheeses , spices etc. they also serve hot food and make fresh custom sandwiches Prices are higher than in comparable stores.",4,TripAdvisor
August,2016,"I have been going there for years in Warminster,some of my best friends were Italian they knew the place well and took me there.",5,TripAdvisor
August,2016,I have now become a weekly regular at Altomonte's market. Their prepared restaurant type food has taken me out of the kitchen and all employees are so courteous and helpful too. Their Organic selection varied & many offerings you can't find in any supermarket! A cheese selection I brought to a recent party got a rave review & I had to return for second. This is a must see market and you don't need to be Italian to appreciate the quality & service and I guarantee you will become a regular like me!,5,TripAdvisor
August,2016,"I've been stopping by more and more lately. Their prepared foods have really helped me in a pinch, when there's no time (or desire) to cook. The chicken parm, and stuffed shells are wonderful. I've enjoyed their sandwiches, as well as the sauce and meatballs. Everthing they make is delicious, and a good value, as well.",5,TripAdvisor
August,2016,"Anyone that has ever visited the old Altomontes in Doylestown is in for a?shock. They went from a broom closet to Sam's warehouse, but best of all without sacrificing quality and price. Now the have an electronic ordering kiosk for sandwiches. Brick oven pizzas and their fully Deli and Italian sundries expanded 4X. Try the Daily Specials - never a loser. More importantly they now have parking and a tables to sit down and eat. A must try when in Doylestown area.",5,TripAdvisor
June,2016,"Wonderful experience, all employees are knowledgeable and very courteous. Restaurant type food available as well as takeout. A large variety of frozen selections are available.",5,TripAdvisor
August,2016,"First - it helps to know that Altomonte's is foremost an Italian market. Their ""restaurant "" is a secondary attraction. Basically, they provide indoor/outdoor cafe seating so you can eat your food while you're there. We usually go there for authentic and imported Italian delicacies to bring home. You name it - they probably have it. And being the bad Italian-American that I am - I can't understand half of the imported packaging since it's mostly in the language of DaVinci, so they have to be good - right? Their prepared foods are fresh & tasty - pasta, eggplant parm, various salads, etc. The sandwiches are probably the best in the area. I recommend the ""Special #2"" - Prosciutto Cotta, Sharp Provolone with roasted red peppers. Hey - I was turned down for a part-time job there and I still patronize them regularly! It's that good. Check them out for yourself - you will not be disappointed.",5,TripAdvisor
August,2016,"The stock of authentic savory and sweet Italian goods, fresh, packaged and frozen is phenomenal. Bakery treats, fresh cheese and specialty meats, and of course, pastas and sauces.",5,TripAdvisor
August,2016,"Altamonte's hasn't lost their attention to quality in their new store. And now, with much more floor space, there is much more to choose from.
Their pastas, sauces, and seasonings are as good as ever. And they still carry Nelson's ice cream, a personal favorite of mine. Their occasional buy 5 get 6 cannolli special is not to be missed. The only thing that I would rate below 5 stars is their coffee bar. The ""regular"" coffees available in their urns was less than great. I have yet to try their espressos made to order. But all in all a great places for groceries, dinner and desserts.",4,TripAdvisor
August,2016,"We were already familiar with Altomonte's in Warminster. The food is fabulous, but the parking and store footprint are painfully cramped. Discovering this new Doylestown store was wonderful. We were able to pick up the Italian specialties that we adore without the aggravation of a crowd. We will definitely be back!",5,TripAdvisor
August,2016,"The new location makes Altamonte's more like a specialty supermarket/deli/eatery than the older, smaller store, Absolutely marvelous homemade pasta, like silk, and good sauces, soups, produce, prepared food, and sandwiches. We go there at least once a week to pick up some take out or prepared food for dinner. I especially like their hoagies, steak sandwiches, meatballs in red sauce, and clam sauce. Good organic meats too.There is enough parking, which was a problem at the older store location.",5,TripAdvisor
July,2016,The best anywhere that's all I can say. Nothing is bad. Tomato pie to die for. All of their sauces are homemade with fresh ingredients and cooked to perfection.,5,TripAdvisor
August,2016,The new palace of Italian food and delicacies is awesome. Great variety and friendly staff. Plenty of parking.,4,TripAdvisor
August,2016,"Altomonte's is one of the best. We Always go here when in town for amazing take out treats. Go in, try everything, you won't be disappointed. Parties, socials, holidays, they step up for every reason under the sun. Pack your coolers for the shore, or just a picnic at Washington's Crossing. Too many items and specialties to list. Go look.",5,TripAdvisor
August,2016,stopped for lunch on a Thursday. The market portion is filled with great looking meats and cheeses. Nice selection and many organic options. They have a good selection of prepared food for lunch. I opted for a sandwich. I saw other people with sandwiches that looked like good rolls. They have a sandwich ordering kiosk similar to Wawa which made ordering easy. There were not many people getting sandwiches at the time I was there. I placed my order and paid for it. returned to wait for my sandwich. about through other people waiting for their order. My sandwich took much longer than I would have expected. Other people seemed to be waiting a long time for simple sandwiches. Finally got my sandwich. the sandwich was very good on the house bread. I would definitely return. Not sure why it takes so long. As I was leaving there were about ten people waiting for their food. They have an area with tables to eat inside and a few tables outside. great selection of drinks and chips to go with your sandwich.,4,TripAdvisor
July,2016,GREAT replacement/upgrade of their prior store. Excellent specialized selection with great and supportive staff.,5,TripAdvisor
July,2016,Great market and friendly staff. I shop here often and I have never been disappointed in anything purchased. I would recommend this market to anyone!!!,5,TripAdvisor
July,2016,"Altomantes recently moved into a large stand alone building. They continue to provide top-notch deli, butcher and baked goods to the Doylestown area. The home roast turkey is a staple in our home. Mamma Altomante also makes the BEST almond paste for baked goods.",5,TripAdvisor
July,2016,My daughter and I eat here or get take out a lot. The new store has an eating area which is very convenient and clean. I also recently ordered food for her grad party from the Warminster store and the portions were huge!!!!! We sent everyone home with food and then had to freeze tons of it. The cakes (which we were told would feed about 12-16 people) were so large that one have fed our whole party of about 45.,5,TripAdvisor
July,2016,We love the new Altemonte's in Doylestown. The new store has plenty of parking and a nice variety of Italian foods. They now have seating so you can enjoy a sandwich. We like the Italian tuna wraps and chicken salad hoagie. We typically don't get produce there but they do carry Blue Moon ( local) micro greens which I love. We also like getting the veal and they have a wide selection of olive oils. They continue to have a wonderful variety of cheese and a great selection of desserts. It is a Dtown favorite.,4,TripAdvisor
June,2016,"Great Italian specialty market, recently opened in new, expanded location. The new store has seating for eating in and a sandwich ""bar"" with touch-screen ordering. Sandwiches were a let-down, though, mostly because of the soft, doughy hoagie rolls. They need to improve the quality of the rolls; nothing inside a sandwich can mitigate poor bread. Also, not sure why they would chop up a chicken cutlet for a sandwich instead of serving it whole, but I guess that's just personal preference (although I've never had one like that).",4,TripAdvisor
June,2016,"I like this place, but have to say that it has slipped since moving and expanding. The quality of everything (prepared foods and produce) seems to have slipped. Perhaps they are still figuring out how to deliver excellence in their new, much larger format? I would recommend that they have a couple of general managers, who's only job is walking the place and making sure quality and service remain top notch. I fear a continued slipping.......",4,TripAdvisor
June,2016,"It's bigger and has more selection, but I felt it was very expensive. It was also crazy crowded when I tried it. I'd suggest avoiding lunch time until things calm down a bit. I made the mistake of trying food from the hot bar and it was overpriced and not very good. I'll try something else but for now I give it an average rating.",3,TripAdvisor
June,2016,"Excellent selection of imported Italian specialties, and prepared foods for in store dining or take home",2,TripAdvisor
June,2016,"Wonderful experience, all employees are knowledgeable and very courteous. Restaurant type food available as well as takeout. A large variety of frozen selections are available.",4,TripAdvisor
June,2016,"We were quite surprised at how large this market is. It is a restaurant as well as a specialty grocery store. There are several food options ranging from prepared foods to regular groceries. The prepared foods include pastas, various main courses, salads, pizzas and desserts. The antipasto bar has olives, stuffed peppers and different pickled vegetables. There is also a Piedmontese section where you can buy meats and cheeses. There is a bread section which also has various crackers. All in all there is considerable variety at this spot.",4,TripAdvisor
May,2016,"Always loved their stuff and now their new location just blows me away. Great produce, meats, italian cooking products, terrific prepared food....I could go on. You can dine there as well. Place is lovely. Job well done!",5,TripAdvisor
May,2016,"1st visit to Altomonte's Italian Market and restaurant. Very well stocked market with lots of fresh items. You can also eat there. They have pizza and sandwiches and a variety of fresh dishes (chicken,stuffed peppers, pasta, wings etc),that you can purchase to take out or eat there. Food was tasty and enough variety to please everyone. Prices reasonable.",4,TripAdvisor
May,2016,I like having Altomonte Italian Market as a quick convenience for those times when I need an extra salad or a an extra item. I do a lot of cooking so I don't use the prepared foods often but it is nice to know I could get something quickly if needed. The store is well organized and I like the produce. The cuts of meats are expensive but they look nice. I am delighted to have the new store here in Doylestown.,5,TripAdvisor
May,2016,"Stopped in with our daughter, son-in-law and the four grandchildren for lunch and to check out the grocery items/shopping. We were not disappointed... what a difference from their previous location in Doylestown. The building in very large, neat and nicely organized. The selection of prepared foods in excellent, as is the lunchmeat/deli selections, cheese selections and grocery items ranging from pastas, olive oils, vinegars etc... The Bakery Section is excellent as well. We enjoyed our lunch selections that included Cheesesteaks, French Fries (both regular and curly), Meatball Sandwich, Grilled Cheese Sandwich. The ordering kiosks are a little bit cumbersome and confusing but overall a good experience. Plenty of seating and very nice that there is a small play section in the corner of the dining area to keep the little ones occupied.",5,TripAdvisor
April,2016,This is not a restaurant but has the best of Italian foods.Worth the stop to find that special something for lunch or dinner. Buy ingredients to make it yourself or take the easy way and purchase your favorites. It's the closest thing to Philly's Italian Market right here in Doylestown!,5,TripAdvisor
April,2016,"I have been here several times and I am impressed with the food selections and the quality of the food.It is a ""tad"" expensive and usually pretty crowded , but overall a good experience",5,TripAdvisor
April,2016,One of our best places to get anything Italian. Just opened up a really nice big store omg it's amazing. A must try don't go hungry.....lol,5,TripAdvisor
April,2016,"I've always been a fan of Altomonte's but there new store is amazing. They have expanded the grocery section and added all types of new foods. Plus, the eat in restaurant with the expanded hot bar can't be beat. You MUST go there for a sandwich, it's guaranteed to be one of the best sandwiches you will ever have.",5,TripAdvisor
April,2016,"This place is over-rated. Don't get me wrong, it's one of the best Italian deli's in the area but that's not saying much. There are very limited options in bucks county for good Italian food or a good Italian market. My favorite is Pascqualina's on route 113, in blooming glen, near Perkasie. Completely in the middle of nowhere. But I happen to drive by it everyday. Altomonte's is good, especially for the area but growing up in Central/North Jersey, it's just average. People from bucks county don't know what good Italian food is so when they go to Altomonte's they think it's the best because they don't know any better. You won't be disappointed if your looking for good food but it's not as good as all the locals think because they don't know any better.",3,TripAdvisor
March,2016,"Yes, the best Italian in the area BUT I was hoping for a place to shop but the prices just prohibit it. $10 hot bar had boring things and rice... tiny Macaroons $2.50 and other pastries on average a dollar more than the famous Randazzo? Italian Bakery over in NJ, Everything seemed to cost 20% to even 30% more than the norm, pastry to fresh ricotta... veggies also, well over the markets for the same things...and freshness. Nice espresso though and the store is beautiful...go my Italian Yuppie friends GO!",3,TripAdvisor
March,2016,Best Italian food store in the area. We go there frequently and bring home our favorites. They will soon move next door to a bigger and better place.,5,TripAdvisor
March,2016,What a fantastic place. Just moved to a new location in Doylestown that is 10x bigger than previous location. Full bakery and butcher with the same great friendly service,5,TripAdvisor
March,2016,"They just opened in a new location right down the street, but it is a whole new world. Some of the best Italian food you will ever have. It is a market but now they have tables and chairs to sit and enjoy (and enjoy you will) your meal. Please do yourself a favor and when in Doylestown or even near by, Stop by and enjoy yourself!!!",5,TripAdvisor
February,2016,"My family has been purchasing take out dinners, deli and meals on the go from Altomonte's for 9 year and we have yet to be disappointed. When I moved to PA, I missed the Italian food easily accessible on Arthur Ave, we found it here in PA at Altomonte's!!!",5,TripAdvisor
November,2015,I Automaticallying to Altomontes for years. As soon as you open the door your senses are Going crazy. Your mouth Automatically waters and the foods are amazing! Make this a stop To eat for sure.,5,TripAdvisor
December,2015,"Everything at Altomonte's is delicious, from the baked goods to all their Italian specialties. They have homemade pasta, produce, bread, frozen lasagnas etc., deli items, fresh basil--you name it; if you want to eat or cook Italian this is the place in Doylestown to go!!",5,TripAdvisor
December,2015,"I have never had anything here that is not delicious. They have a deli, prepared meals, frozen pastas, fresh meats and vegetables, their own pasta sauces...We really like the hoagies and strombolis. They are moving their Doylestown store just down the road to a larger building. I'm sure they will have even more to offer!",5,TripAdvisor
June,2015,This is a great place to grab something to eat! I go there often for premade dinner items and usually find something I need in the grocery section! They are expanding into a close by location which will give a wider selection of grocery items!,5,TripAdvisor
December,2015,I Love this place. I have to say I like the Doylestown Store better than Warminster. But both are great. It's a great place to stop for a sandwich or even some pre-made gravy and Pasta for dinner if your in a pinch. The pre-made food in the back of the store is no less than pefect. The are all homemade. But whatever you do don't leave without Tomato Pie. I highly recommend this place to anyone looking for something quick and delicious.,5,TripAdvisor
December,2015,"For those items, brands, or ingredients that your average grocery store does not have. Great bakery, cheese and meat deli. Sandwichs. Canned and dry products.",4,TripAdvisor
November,2015,"This place has everything! It has hot food, deli, groceries and the best Amarosa rolls as well as their own. I love groceries like these, if only they could carry wine it would be perfect....",5,TripAdvisor
July,2015,"Small, Italian gourmet grocery in local strip mall. Delicious products including sandwiches, salads, produce, baked goods, frozen specialties, and groceries. (Rumor has it that they are moving to much larger quarters in Doylestown.)",5,TripAdvisor
October,2015,A perfect Italian market. Great deli and great prepared Italian foods . A lot of good stuff! I especially like the Italian hoagies.,5,TripAdvisor
September,2015,"The size and price of the hoagie is great. The service is great and the place is neat and clean. My complaint is with the hoagie. They went thru a lot of trouble to use the scrap from the tomato, so I pulled it off and replaced with 1 from my backyard. Although the deli is filled with boarshead, I suspect they used d&w or something cheaper for the meat. A small bit of lettuce was used. A cheap pungent onion slice was used. Glad there was only a few pieces of those. Asked for oil and vinegar, but could not taste any, so I added more when I got home. Asked for salt pepper oragano, but could not taste it, so added some when I got home. Overall a bad experience for this sandwich. Recommend sandwich connection for italian hoagie in doylestown instead.",3,TripAdvisor
January,2015,"This place is ok. It's over-priced for most of the Italian items that you might find at your usual grocery store chain. If you really have a craving for bacala or some cheese or lunchmeat that is authentic imported Italian, then this is your spot. I suggest that if you want to drive a bit farther south, you should visit Sam's Italian Market in Willow Grove area.",3,TripAdvisor
August,2015,"Shh! What an oasis. Great selection of everything to satisfy your palate. Um good cheeses, Italian cookies galore, and so much more. You are also treated wonderfully! Try it, you'll like it.",5,TripAdvisor
August,2015,"This store is great to have around for a taste of things Italian that you can't find in the normal supermarket. It has fairly authentic Italian selections (except for the Boar's Head Deli meats). Overall, I prefer to shop at their Warminster location which has a real butcher shop and a larger selection of products.",4,TripAdvisor
August,2015,"These guys have it all, from fresh meats and cheeses to great hoagies and soups. Staff is always friendly and polite.",4,TripAdvisor
July,2015,"Altomonte's is not a restaurant. But it is the best in its class. It's a meat market, a deli, a bakery.They also make their own soups, sauces, and take out. Try their Tomato Pie! The best! The location on N. Easton Rd. is their second location. The main store which is much larger is located in Warminster on York Rd. I have shopped there for Prime Meats and free range chicken. There are always butchers on duty, and they will customize for their customers. I have bought large briskets, had them split them in half, and then they vacuum-sealed one piece for freezing. I go out of my way to visit the main location so that I have a wider selection and the main butchers to serve me. A unique one-stop shopping experience!",5,TripAdvisor
July,2015,"This is not an eat-in restaurant, but it has the most delicious Italian food! Pre-made food, catering, and also delicious frozen meals. I don't even know what half of the cheeses and meats are, but they are very helpful with answering questions. It's all delicious! The pastries are so fresh. I never leave without food for several meals, special pasta, cheese, and some special candy that my kids love. Something for everyone here. I had never had ""tomato pie"", but I tried it and loved it. That's the thing I love most about coming here. There is always something new to explore.",5,TripAdvisor
June,2015,"When I first moved to Central Bucks County more than 15 years ago, there were no Italian markets. I used to drive all the way to the 9th Street market in South Philadelphia to get some of my groceries. Everything here is wonderful. The service is fantastic, the owners are always engaged with the customers, and the selections of products is excellent. I highly recommend a visit for all things Italian.",5,TripAdvisor
June,2015,The choices of Italian foods is wonderful as is the quality. Particularly like the selection of cheeses and their Blush Sauce. Only shortcoming is they dont have gubana bread.,5,TripAdvisor
May,2015,The Italian hoagie was as good as my father made in his hoagie shop in the sixties! I really enjoyed beig able to get my favorite cheeses. Everyone was helpful and curteous and the prices were good too.,5,TripAdvisor
July,2015,"This is a great place to shop for an authentic Italian meal. The cheese selection is extensive, as are the Italian specialties- salads, meats, sauces. They prepare nice take out, great for a picnic, and although I've never tried it my friend Martha swears their chicken pot pie is to die for. They carry a large selection of house made frozen pastas & sauces which are really nice. Working up to the front of the store they are pretty famous for their stromboli, which are stuffed with everything from ham & eggs to the traditional mozzarella & tomato sauce. Lastly, on Sunday mornings they offer what I call ""shrek"" donuts- oversized doughnuts covered in sugar. They make me very happy.",5,TripAdvisor
June,2015,"Sandwiches and luncheon meats, rolls and other Italian delights make this a place to go for the best",4,TripAdvisor
June,2015,"This gem is a Doylestown favorite. Looking for numerous choices to select from for a quick dinner to bring home...Altomonte will have it. Looking for a sandwich perhaps for a quick lunch....Altomonte will have it. Craving a cannoli...they are made fresh daily AND you can select the ingredients that suits your fancy. The list of fresh foods, canned products and yummy soups makes it worth the trip.",5,TripAdvisor
May,2015,"Italian deli and catering. Bakery is incredible. Get the cannoli cake Ingredients you won't find in a grocery store. Meat department offers fresh cuts of beef, pork and chicken. Great selection of cheeses.",4,TripAdvisor
May,2015,"Great Italian delicatessen/market/bakery in Doylestown. Extensive selection of meats, cheeses, pastas, olives, breads, soups, cookies, prepared foods etc...If you are craving it..they have it!!! Nice and attentive staff and well priced...",5,TripAdvisor
April,2015,"We have used Altomonte's catering for various parties and they have the best antipasto trays. Ordering is easy and pick-up is very convenient. You can customize a tray and it is never a problem. The market has loads of additional options to choose from-specialty meats and cheeses, prepared foods, salads, etc. Definitely our go to place for all party needs.",5,TripAdvisor
February,2015,"I am a resident of Doylestown and am very familiar with this little Italian market. First of all there is no indoor seating but I believe there may be 1 or 2 very small tables out front that are available when the weather is nice. They are in the parking lot so I never considered sitting outdoors, but I do frequent this market to get amazing dinner entrees that available in the rear of the store. There are hot items that change regularly and I especially like the parmesan chicken wingettes. The case next to it has ala cart items that are my solution to a delicious meal when I don't feel like cooking. The lasagna, grilled chicken breast, broccoli rage, roasted brussell sprouts, and roasted vegetables are some of my favorites. Next to that case are all kinds of salads and the chicken salad is one of my favorites. You can also order deli sandwiches. Additionally they have a bakery, fresh salads, a deli, grocery items, fresh produce and more. I also use there catering services. So happy we have them in our community!!!! I highly recommend this establishment...dinner is ready!",5,TripAdvisor
February,2015,"I'm a customer who likes to cook. So, I head to Altamonte's for most of my ingredients. Wonderful selection of pastas, olive oil & vinegar. So much else -- olive bar, wonderful cheese selection, coffee, chocolate! Great addition to Doylestown culinary scene!",5,TripAdvisor
March,2015,"Fresh made pasta, meatballs, sausage, salads etc. Lots of choices here for the foodie. Great selection of cheeses, salami, canned goods, etc. Sandwiches, hoagies and many other things to order. Party trays and catering too. Don't miss it.",5,TripAdvisor
January,2015,Best selection of hard to find European cheeses in area. Other fresh and or homemade Italian food and condiments a bonus.,5,TripAdvisor
January,2015,"I ordered several dishes from Altomonte's for a Christmas gathering. Because I live so close, I got free delivery of my hot, ready to eat food - what a help that was! While the food came a little late (half an hour past the delivery time), it was hot and the man who delivered it brought in in for me. We had Lasagna, Chicken Marsala, Caesar salad, bread (of course!), and a desert tray featuring homemade cannolis. Everything was great, and I really appreciated how much time I did NOT spend in the kitchen. The pricing was reasonable, I need to do this more often for parties!!!",5,TripAdvisor
December,2014,"Authentic Italian delicatessens are becoming more difficult to find. Fortunately Doylestown has one of its own. Wonderful aromas of fresh baked breads, cheeses and meats greet you as you open the door to Altomonte’s and step back in time, maybe invoking pleasant memories of shopping with your mom in similar places as a child. Hopefully you’ll be lucky enough to be there on a day when the chef is making fresh mozzarella or pasta, or they are hanging a 100lb provolone from the ceiling to age. A wide assortment of freshly made Italian food and products from Italy are available. The store also features one of the largest and best selections of foreign and domestic cheeses in the area. And their cannolis are divine!",4,TripAdvisor
November,2014,"I grew up in an Italian Deli. This place reminds me of my grandparents business a ling time ago. The smells and the feel- it just takes me back to then. The overall quality is of course, excellent.",5,TripAdvisor
December,2014,"i wouldn't call this a restaurant, although I hear that they will be expanding to add some seating. It's hard to get real, authentic Italian sandwiches in the Doylestown area. Here it is. Terrific cheesesteaks, hoagies, roast pork, roast beef, Stromboli, South Philly style. A great lunch meat selection are very competitive prices. A wonderful selection of pastas, sauces (gravy) wit and without meatballs. We often take advantage of their prepared food section for dinner. Especially when it is my turn to cook. If it's Italian food...it's here. Enjoy.",5,TripAdvisor
December,2014,"We love this place. Nondescript in an off highway semi strip mall area sits a very good deli, sandwich and pizza shop. The service is quick and friendly- they are used to high volume. Shop is fairly small but packs a big punch. Sandwiches- hot pork and hot roast beef with sharp provolone are the best north of South Philly. Big Salad selection - hard to go wrong anywhere in this establishment. Grocery section of fine Italian products including meats is excellent.Highly recommend this shop.",5,TripAdvisor
December,2014,"Great authentic Italian Deli, bakery, and grocery. Everything is fresh and lots of options for takeaway quick dinners. The tomato pie...to die for! I have never had anything bad here and the service is grea!",5,TripAdvisor
April,2014,"If you enjoy cooking Italian food and live in Bucks County, look no further than Altomonte's deli to find everything you need. Everything is fresh, the imported items are the real deal, and the staff is always looking to please.",5,TripAdvisor
June,2014,"This is a great place to do all of my Italian shopping! Pasta selection is great. Baked goods are fresh. The salads are tasty. The staff is super friendly!! I recently had a quick lunch outside at their 1 table. Chicken salad, pasta salad and tomato pie. The tomato pie is garbage. Dough is way too thick. The sauce is a solid 8 out of 10. Could it be that I'm a Corropolese girl from way back? Possibly.",4,TripAdvisor
May,2014,We decided to branch out from the tomato pie this trip and pick up a few extra things. Salads and desserts were all delicious. Great place to pick up lunch on a Sunday afternoon.,4,TripAdvisor
April,2014,"Last year we moved from Bucks County / Philly to Orlando; a place sorely lacking in GREAT Italian food and more importantly good quality Italian ingredients. A few weeks back we flew home for the first time since the move and my brother ( probably my sister in law) had the good sense to go to Altomonte's for food for our visit. Assorted hoagies on good, crunchy, seeded rolls (something lacking in Florida) with all the fixings on the side. (hot peppers!) and tomato pie the perfect fix. What a great treat for us. Now I just need to see if they'll ship!",5,TripAdvisor
March,2014,"In the middle of a set-back shopping plaza on a bland commercial thoroughfare, this store is pretty Average. Parking is cramped, with lumbering SUVs carefully avoiding each other. I walked the shelf space, viewed the offerings in the deli/salad counters and gauged the hot takeout fare. I dished into foam boxes a few scoops of grilled potatoes, pasta and sauce. I strolled another loop through, listening to the weekday lunch energy. Business is good. Most of the customers appeared to be regulars. There were a couple of interesting cheese samples with crunchy bread on a small table near the back. I speared a chunk with a toothpick, chatted with staff, then sauntered to the register. This is a to go deli, as there are no tables or seats. They carry the local papers, a nice small town touch. Back to the parking tussle, there is more to and fro as there were cars idling for close-in parking spaces. At the park for Fonthill, the open-to-the-public mansion nearby, (yes, see this quirky attraction) I relished the thought of my lunch from Altomonte's. But, there was no zest, no homemade zing to my choices. After a few uninspiring bites, I placed everything back in the paper bag, never to be touched again, toured Fonthill, and enjoyed the day.",3,TripAdvisor
February,2014,Some one in this business knows food. Baked goods and prepared foods are all delicious. Take home pasta sauces are the best I've ever had.,5,TripAdvisor
January,2014,"I will review (also positively) all of the hidden wonders of this fine purveyor later. Why we have bakeries and take-outs in the restaurant reviews, I will never understand. For the moment, let me say this: Altomonte's is now baking authentic Pane Altamura! Not bring it in, but baking it themselves, in a day-and-a half process. If you've been to Italy, you have had this wonderful durum wheat bread with your meals. The next day, however, you have what Americans call ""stale bread"". This why there are such things as ""Crostini"" and Panzanella and all of the wonderful things the Italians do with day old (Italian) bread. If you've been to Italy, and if you've cooked in your own cucina there, you know about this bread. It's here in Bucks county PA USA",5,TripAdvisor
September,2013,We have used the catering service at least 3 times for our church functions. Everything has been delivered as promised and on time. Very professional staff.,5,TripAdvisor
